Date,Value,Anomaly
189503,24.2,-7
189603,27.2,-4
189703,32.4,1.2
189803,34.4,3.2
189903,27,-4.2
190003,26.7,-4.5
190103,27,-4.2
190203,29.9,-1.3
190303,36.2,5
190403,26.6,-4.6
190503,27.5,-3.7
190603,27.2,-4
190703,29.8,-1.4
190803,30.2,-1
190903,33,1.8
191003,33.2,2
191103,30.6,-0.6
191203,26.3,-4.9
191303,32.5,1.3
191403,25.2,-6
191503,30.4,-0.8
191603,25.5,-5.7
191703,29.2,-2
191803,32.5,1.3
191903,34.1,2.9
192003,29.8,-1.4
192103,37.7,6.5
192203,33.6,2.4
192303,28.2,-3
192403,28.7,-2.5
192503,35.4,4.2
192603,28,-3.2
192703,35.6,4.4
192803,30.6,-0.6
192903,32.8,1.6
193003,33.6,2.4
193103,31.4,0.2
193203,31.7,0.5
193303,31.1,-0.1
193403,23.6,-7.6
193503,32.9,1.7
193603,28.8,-2.4
193703,30,-1.2
193803,35.8,4.6
193903,32.9,1.7
194003,27.9,-3.3
194103,26.2,-5
194203,30.5,-0.7
194303,31.2,0
194403,30,-1.2
194503,36.6,5.4
194603,36.3,5.1
194703,26,-5.2
194803,32,0.8
194903,34.8,3.6
195003,29.1,-2.1
195103,32.5,1.3
195203,32.6,1.4
195303,34.8,3.6
195403,34.3,3.1
195503,32.2,1
195603,31.4,0.2
195703,33.8,2.6
195803,27,-4.2
195903,30.6,-0.6
196003,26.6,-4.6
196103,33,1.8
196203,29.8,-1.4
196303,28,-3.2
196403,30.2,-1
196503,29.2,-2
196603,32,0.8
196703,28.5,-2.7
196803,30.4,-0.8
196903,29.7,-1.5
197003,28.4,-2.8
197103,30,-1.2
197203,28.2,-3
197303,34.2,3
197403,31.6,0.4
197503,31.2,0
197603,37.2,6
197703,33.6,2.4
197803,24.6,-6.6
197903,27.9,-3.3
198003,28.2,-3
198103,32.4,1.2
198203,30.9,-0.3
198303,34.2,3
198403,31.6,0.4
198503,32.7,1.5
198603,32.4,1.2
198703,32.9,1.7
198803,32,0.8
198903,31.9,0.7
199003,37,5.8
199103,35.9,4.7
199203,32.6,1.4
199303,28.2,-3
199403,29,-2.2
199503,31.8,0.6
199603,29.4,-1.8
199703,35.3,4.1
199803,37.7,6.5
199903,33,1.8
200003,37.1,5.9
200103,32.4,1.2
200203,36,4.8
200303,30.5,-0.7
200403,33.2,2
200503,31.2,0
200603,33.4,2.2
200703,28.8,-2.4
200803,31.6,0.4
200903,33.9,2.7
201003,33.9,2.7
201103,32.4,1.2
201203,41,9.8
201303,30.6,-0.6
201403,26.6,-4.6
201503,23.8,-7.4
201603,37,5.8
201703,36,4.8
201803,33.6,2.4
201903,32.4,1.2
202003,37.9,6.7
202103,33.8,2.6
