Date,Value,Anomaly
189504,31.7,-4.7
189604,35.1,-1.3
189704,37.2,0.8
189804,37.4,1
189904,34.2,-2.2
190004,33.4,-3
190104,33,-3.4
190204,35.3,-1.1
190304,39.7,3.3
190404,31.9,-4.5
190504,33.7,-2.7
190604,34,-2.4
190704,33.6,-2.8
190804,36,-0.4
190904,37.4,1
191004,38.9,2.5
191104,35.2,-1.2
191204,33.6,-2.8
191304,37.9,1.5
191404,31.8,-4.6
191504,37.5,1.1
191604,32.3,-4.1
191704,34.9,-1.5
191804,37,0.6
191904,38.2,1.8
192004,34.5,-1.9
192104,42.9,6.5
192204,38.3,1.9
192304,34.1,-2.3
192404,33.9,-2.5
192504,40,3.6
192604,32.8,-3.6
192704,38.7,2.3
192804,34.8,-1.6
192904,38.2,1.8
193004,37.7,1.3
193104,36.3,-0.1
193204,36,-0.4
193304,36.9,0.5
193404,31.3,-5.1
193504,36.8,0.4
193604,33.7,-2.7
193704,35,-1.4
193804,40.1,3.7
193904,36.6,0.2
194004,32.8,-3.6
194104,34.9,-1.5
194204,37.2,0.8
194304,34.4,-2
194404,34.6,-1.8
194504,41.4,5
194604,39.6,3.2
194704,33.2,-3.2
194804,37.8,1.4
194904,38.7,2.3
195004,33.6,-2.8
195104,37.2,0.8
195204,38,1.6
195304,38.4,2
195404,39.9,3.5
195504,38.7,2.3
195604,35.7,-0.7
195704,38.9,2.5
195804,34.1,-2.3
195904,36.6,0.2
196004,34.8,-1.6
196104,36.2,-0.2
196204,35.4,-1
196304,34.4,-2
196404,35.5,-0.9
196504,34.2,-2.2
196604,35.9,-0.5
196704,35,-1.4
196804,36.8,0.4
196904,36.2,-0.2
197004,34.8,-1.6
197104,34.7,-1.7
197204,33.6,-2.8
197304,38.6,2.2
197404,37.2,0.8
197504,34.7,-1.7
197604,41.2,4.8
197704,39,2.6
197804,31.6,-4.8
197904,34,-2.4
198004,34.6,-1.8
198104,38.2,1.8
198204,35.3,-1.1
198304,37.9,1.5
198404,36.5,0.1
198504,38.9,2.5
198604,38,1.6
198704,38.2,1.8
198804,36.8,0.4
198904,36.1,-0.3
199004,41,4.6
199104,40.6,4.2
199204,37.4,1
199304,34.6,-1.8
199404,36.1,-0.3
199504,36.2,-0.2
199604,35.3,-1.1
199704,38.4,2
199804,41.6,5.2
199904,38.2,1.8
200004,40.6,4.2
200104,38,1.6
200204,40.7,4.3
200304,36.3,-0.1
200404,38.3,1.9
200504,37.4,1
200604,39.1,2.7
200704,34.1,-2.3
200804,38.2,1.8
200904,39,2.6
201004,40.1,3.7
201104,38.2,1.8
201204,43.2,6.8
201304,36.6,0.2
201404,33.6,-2.8
201504,32,-4.4
201604,40.3,3.9
201704,41.9,5.5
201804,36.8,0.4
201904,38.5,2.1
202004,40.3,3.9
202104,39,2.6
