Date,Value,Anomaly
189504,39.1,-2.2
189604,39.4,-1.9
189704,41.8,0.5
189804,42.8,1.5
189904,41.3,0
190004,38,-3.3
190104,40,-1.3
190204,42.4,1.1
190304,45.6,4.3
190404,38.3,-3
190504,41.4,0.1
190604,38.4,-2.9
190704,40.4,-0.9
190804,42.9,1.6
190904,39.7,-1.6
191004,46.5,5.2
191104,38.6,-2.7
191204,39.9,-1.4
191304,44.4,3.1
191404,38.4,-2.9
191504,41,-0.3
191604,37.1,-4.2
191704,40.9,-0.4
191804,42.7,1.4
191904,42.5,1.2
192004,40.2,-1.1
192104,49.4,8.1
192204,42.4,1.1
192304,40,-1.3
192404,38.9,-2.4
192504,43.6,2.3
192604,36.2,-5.1
192704,42.1,0.8
192804,38.6,-2.7
192904,45,3.7
193004,40.4,-0.9
193104,40,-1.3
193204,37.6,-3.7
193304,41.2,-0.1
193404,39.3,-2
193504,42.3,1
193604,41.4,0.1
193704,38.3,-3
193804,44.4,3.1
193904,39.8,-1.5
194004,36.1,-5.2
194104,40.6,-0.7
194204,44.2,2.9
194304,37.8,-3.5
194404,38.2,-3.1
194504,48.6,7.3
194604,45.6,4.3
194704,38.9,-2.4
194804,43.9,2.6
194904,41.6,0.3
195004,36.6,-4.7
195104,41.3,0
195204,41.6,0.3
195304,41.6,0.3
195404,43,1.7
195504,44.4,3.1
195604,38.6,-2.7
195704,42.7,1.4
195804,41,-0.3
195904,41.4,0.1
196004,38,-3.3
196104,39.8,-1.5
196204,40.4,-0.9
196304,42.4,1.1
196404,41.5,0.2
196504,38.2,-3.1
196604,40.6,-0.7
196704,41.2,-0.1
196804,44,2.7
196904,41,-0.3
197004,39.6,-1.7
197104,38.4,-2.9
197204,38.8,-2.5
197304,45.2,3.9
197404,42.8,1.5
197504,37.6,-3.7
197604,45,3.7
197704,45.4,4.1
197804,38.8,-2.5
197904,42.8,1.5
198004,40.4,-0.9
198104,42,0.7
198204,39.4,-1.9
198304,42,0.7
198404,37.9,-3.4
198504,44.8,3.5
198604,43.6,2.3
198704,43.9,2.6
198804,41.8,0.5
198904,40.6,-0.7
199004,44.5,3.2
199104,44.7,3.4
199204,40.6,-0.7
199304,40.1,-1.2
199404,42.2,0.9
199504,42.4,1.1
199604,39.4,-1.9
199704,41.1,-0.2
199804,44.6,3.3
199904,41.4,0.1
200004,45,3.7
200104,41.2,-0.1
200204,44.1,2.8
200304,42.5,1.2
200404,43.9,2.6
200504,41,-0.3
200604,43.8,2.5
200704,41.1,-0.2
200804,43.4,2.1
200904,43.6,2.3
201004,47.2,5.9
201104,43,1.7
201204,47.7,6.4
201304,41.2,-0.1
201404,39,-2.3
201504,40,-1.3
201604,45.2,3.9
201704,44.5,3.2
201804,38.1,-3.2
201904,42.6,1.3
202004,43.8,2.5
202104,45.2,3.9
