Date,Value,Anomaly
189502,17,-9.5
189602,26.6,0.1
189702,27.9,1.4
189802,26.7,0.2
189902,20,-6.5
190002,24.1,-2.4
190102,18.9,-7.6
190202,21,-5.5
190302,28,1.5
190402,19.2,-7.3
190502,18.1,-8.4
190602,25.3,-1.2
190702,20.1,-6.4
190802,22.1,-4.4
190902,32.9,6.4
191002,23.8,-2.7
191102,28.4,1.9
191202,21.1,-5.4
191302,25,-1.5
191402,18.7,-7.8
191502,30.6,4.1
191602,22.8,-3.7
191702,23,-3.5
191802,25.7,-0.8
191902,29.6,3.1
192002,23,-3.5
192102,30,3.5
192202,30.1,3.6
192302,22.1,-4.4
192402,23.9,-2.6
192502,32.8,6.3
192602,25.8,-0.7
192702,32,5.5
192802,27.2,0.7
192902,24.7,-1.8
193002,32.2,5.7
193102,29,2.5
193202,32.6,6.1
193302,28.4,1.9
193402,15.2,-11.3
193502,25.8,-0.7
193602,18.3,-8.2
193702,28.5,2
193802,31.4,4.9
193902,30.2,3.7
194002,26.3,-0.2
194102,23.6,-2.9
194202,23.2,-3.3
194302,27.6,1.1
194402,27.5,1
194502,27.1,0.6
194602,27.4,0.9
194702,21.7,-4.8
194802,25.6,-0.9
194902,32.9,6.4
195002,27.4,0.9
195102,28.9,2.4
195202,30.6,4.1
195302,31.8,5.3
195402,33.6,7.1
195502,27.3,0.8
195602,29.8,3.3
195702,31.4,4.9
195802,20.4,-6.1
195902,27,0.5
196002,28.6,2.1
196102,28.9,2.4
196202,25.4,-1.1
196302,18.4,-8.1
196402,23.6,-2.9
196502,26.2,-0.3
196602,26.5,0
196702,22.6,-3.9
196802,22.3,-4.2
196902,26.7,0.2
197002,25.2,-1.3
197102,27.4,0.9
197202,23.2,-3.3
197302,25.5,-1
197402,26.2,-0.3
197502,28.8,2.3
197602,33.5,7
197702,26.1,-0.4
197802,17.2,-9.3
197902,16.4,-10.1
198002,23,-3.5
198102,30.7,4.2
198202,26.9,0.4
198302,29.8,3.3
198402,33.8,7.3
198502,27.1,0.6
198602,26.7,0.2
198702,26.8,0.3
198802,26.8,0.3
198902,27.1,0.6
199002,33.9,7.4
199102,32.4,5.9
199202,30.9,4.4
199302,23.5,-3
199402,24.1,-2.4
199502,23.9,-2.6
199602,27,0.5
199702,33,6.5
199802,35.8,9.3
199902,31.7,5.2
200002,31.6,5.1
200102,31.5,5
200202,33.9,7.4
200302,23.8,-2.7
200402,27,0.5
200502,30.1,3.6
200602,29.8,3.3
200702,20.1,-6.4
200802,27.7,1.2
200902,29.6,3.1
201002,25.8,-0.7
201102,28.6,2.1
201202,34.3,7.8
201302,27.4,0.9
201402,22.8,-3.7
201502,16.1,-10.4
201602,30.7,4.2
201702,36.6,10.1
201802,34.3,7.8
201902,30.2,3.7
202002,33.3,6.8
202102,26.6,0.1
